Stock Name,Ticker,Trendlyne ID,Research Report URL,MarketCap,Industry Name,Sector Name,BSE Ticker
Bharat Petroleum Corporation Ltd,BPCL,215,https://trendlyne.com/research-reports/stock/215/BPCL/,1.21E+12,,,
Punjab National Bank,PNB,1048,https://trendlyne.com/research-reports/stock/1048/PNB/,1.20E+12,Banks,Banking and Finance,532461
Indian Railway Finance Corporation Ltd,IRFC,402503,https://trendlyne.com/research-reports/stock/402503/IRFC/,1.20E+12,Financial Institutions,Banking and Finance,543257
Solar Industries India Ltd,SOLARINDS,1263,https://trendlyne.com/research-reports/stock/1263/SOLARINDS/,1.19E+12,Other Industrial Products,General Industrials,532725
Indian Bank,INDIANB,609,https://trendlyne.com/research-reports/stock/609/INDIANB/,1.17E+12,Banks,Banking and Finance,532814
Jindal Steel Ltd,JINDALSTEL,677,https://trendlyne.com/research-reports/stock/677/JINDALSTEL/,1.16E+12,Iron & Steel/Interm.Products,Metals & Mining,532286
Cholamandalam Investment Finance Company Ltd,CHOLAFIN,262,https://trendlyne.com/research-reports/stock/262/CHOLAFIN/,1.16E+12,,,
Canara Bank,CANBK,232,https://trendlyne.com/research-reports/stock/232/CANBK/,1.15E+12,Banks,Banking and Finance,532483
Adani Energy Solutions Ltd,ADANIENSOL,1759,https://trendlyne.com/research-reports/stock/1759/ADANIENSOL/,1.13E+12,Power - Electric Utilities,Utilities,539254
Hitachi Energy India Ltd,POWERINDIA,202203,https://trendlyne.com/research-reports/stock/202203/POWERINDIA/,1.13E+12,Heavy Electrical Equipment,General Industrials,543187
Samvardhana Motherson International Ltd,MOTHERSON,878,https://trendlyne.com/research-reports/stock/878/MOTHERSON/,1.13E+12,,,
Indus Towers Ltd,INDUSTOWER,629,https://trendlyne.com/research-reports/stock/629/INDUSTOWER/,1.12E+12,Other Telecom Services,Telecom Services,534816
Tata Motors Passenger Vehicles Ltd,TMPV,1362,https://trendlyne.com/research-reports/stock/1362/TMPV/,1.12E+12,,,
Siemens Ltd,SIEMENS,1237,https://trendlyne.com/research-reports/stock/1237/SIEMENS/,1.08E+12,,,
